Bomb Blasts Occurred,Building condition satisfactory,Color By Measure Value,Analysis Level Selector,Complete Primary Schools,Drinking water,Education score
27,81.44,88.93,Punjab,904,95.56890459,65.605
27,86.575,77.15,Punjab,886,98.65424431,75.585
27,83.16,90.525,Punjab,1284,97.9366429,69.925
27,75.155,64.045,Punjab,431,98.72680412,58.655
27,82.305,89.23,Punjab,787,97.94026777,70.115
27,84.07,93.975,Punjab,803,98.41915086,77.01
27,85.655,80.59,Punjab,550,96.37883008,63.845
27,77.235,87.39,Punjab,1786,97.69871066,67.065
27,75.95,82.295,Punjab,571,95.10323887,60.965
27,84.385,96.21,Punjab,1181,96.21717172,81.425
27,90.73,91.635,Punjab,636,99.16317992,68.71
27,78.15,95.94,Punjab,1127,98.91151685,75.42
27,84.395,95.485,Punjab,818,98.11753903,76.28
27,83.210625,79.01,Punjab,1203,97.81616688,83.755
27,76.37331839,75.645,Punjab,673,54.44444444,55.225
27,46.1293761,80.81,Punjab,879,87.03917051,52.045
27,10.64967485,76.98,Sindh,147,37.47030553,52.5
27,19.21918443,89.61,Sindh,984,50.94116149,64.13
27,23.39934426,85.335,Sindh,633,73.91208199,71.855
27,51.67885027,93.93,Sindh,326,74.63577864,75.865
27,15.66561238,83.64,Sindh,426,35.22753835,59.47
27,14.13214456,72.46,Sindh,213,53.04232804,52.435
27,18.82751733,87.965,Sindh,696,48.04605263,62.83
27,42.66362359,85.29,Sindh,1509,67.09132511,69.945
27,14.98830561,74.74,Sindh,573,47.99568966,62.47
27,27.08827014,87.255,Sindh,358,83.4485551,66.76
27,26.12623271,86.455,Sindh,637,84.33649289,67.71
27,26.47636126,81.83,Sindh,5,73.43688792,71.67
27,17.63103512,88.08,Sindh,656,42.14952333,61.205
27,19.52150215,80.9,Sindh,937,83.08719596,65.775
27,13.63624919,77.025,Sindh,981,51.11666667,54.365
27,30.06120559,88.045,Sindh,741,71.4963607,52.24
27,22.8495004,86.73,Sindh,737,64.0308642,72.625
27,59.90802521,79.205,Sindh,301,82.3153233,59.205
27,20.24232284,76.58,Sindh,159,57.6,62.3
27,49.61551971,90.22,Sindh,0,56.68301315,49.38
27,21.40876388,75.53,Sindh,90,30.19730586,55.205
27,55.31814422,90.135,Sindh,26,57.90163934,57.22
27,58.85750694,70.32,Sindh,186,40.60575139,51.605
23,36.99,94.98,AJK,325,25.43,78.28
23,33.57,91.96,AJK,246,29.47,77.15
23,37.05,88.64,AJK,262,23.38,76.68
23,26.46,90.66,AJK,158,11.64,78.25
23,23.32,95.12,AJK,449,15.28,77.99
23,36.25,95.97,AJK,255,36.98,78.78
23,42.28,94.22,AJK,603,29.49,72.93
23,34.25,85.04,AJK,160,26.03,75.23
23,25.8,95.3,AJK,476,11.74,73.97
23,16.9,85.07,AJK,251,13.8,71.1
23,3.88,77.6,Balochistan,52,0.97,53.89
23,26.46,51.05,Balochistan,0,1.59,45.87
23,25,50.35,Balochistan,73,12.25,45.16
23,30.71,41.93,Balochistan,180,1.07,28.99
23,11.17,70.17,Balochistan,53,20.39,62.58
23,20.98,56.31,Balochistan,41,8.39,40.73
23,23.46,64.44,Balochistan,71,13.52,50.01
23,74.89,61.71,Balochistan,48,0.43,57.25
23,14.25,40.43,Balochistan,88,4.66,40.29
23,18.01,89.39,Balochistan,91,12.1,49.79
23,4.05,84.7,Balochistan,225,5.54,69.5
23,13.71,59.62,Balochistan,10,2.86,62.93
23,40.81,91.35,Balochistan,203,14.36,55.16
23,22.6,33.16,Balochistan,85,15.72,28.04
23,18.92,68.32,Balochistan,17,5.98,64.44
23,20.7,44.58,Balochistan,0,3.49,33.4
23,17.22,73.4,Balochistan,188,15.56,58.04
23,37.79,65.53,Balochistan,0,12.87,44.11
23,13.31,83.64,Balochistan,119,5.12,62.94
23,23.62,31.3,Balochistan,0,5.91,30.34
23,25,53.91,Balochistan,0,3.54,35.63
23,19.35,81.88,Balochistan,87,18.71,59.43
23,65.07,65.4,Balochistan,190,0.34,51.18
23,18.49,76.76,Balochistan,120,18.88,55.01
23,41.62,75.3,Balochistan,293,20.39,72.13
23,19.11,64.06,Balochistan,2,5.73,48.84
23,11,82.31,Balochistan,76,8.13,62.12
23,18.62,51.16,Balochistan,27,6.9,35.4
23,31.12,74.95,Balochistan,45,8.39,58.69
23,22.37,78.76,Balochistan,39,1.83,62.46
23,56.02,72.56,FATA,467,34.21,57.43
23,60.76,89.09,FATA,322,38.19,65.9
23,36.7,46.89,FATA,117,29.36,47.3
23,73.87,86.79,FATA,139,29.73,39.55
23,57.14,68.94,FATA,94,38.96,42.56
23,65.25,68.34,FATA,143,61.86,51.09
23,48.68,96.64,FATA,157,47.37,66.06
23,0,58.85,FATA,588,0,56.31
23,65.33,73.23,FATA,466,26.18,36.24
23,45.63,58.85,FATA,472,20,57.17
23,0.99,73.31,FATA,690,78.42,26.45
23,59.95,56.86,FATA,403,13.83,59.68
23,50.19,72.68,FATA,578,16.35,29.21
23,26.15,91.54,GB,42,13.85,75.86
23,11.63,47.34,GB,0,43.41,58.36
23,22.39,96.55,GB,54,38.81,68.79
23,11.29,85.3,GB,43,83.87,69.58
23,17.33,95.27,GB,63,56,74.88
23,22.22,95.85,GB,38,66.67,77.33
23,19.4,86.7,GB,202,42.91,78.58
23,49.74,95.1,ICT,190,92.67,83.96
23,43,91.13,KP,960,61.27,76.13
23,97.96,85.98,KP,786,98.74,67
23,53.52,57.66,KP,349,35.03,53.53
23,90.92,71.9,KP,458,67.42,63.83
23,66.7,87.58,KP,874,85.43,73.51
23,95.03,95.84,KP,280,69.41,76.61
23,89.75,85.47,KP,901,72.75,63.03
23,71.3,66.77,KP,215,64.81,58.46
23,87.16,97.4,KP,655,59.12,83.97
23,92.46,98.72,KP,677,43.3,75.23
23,86.52,70.72,KP,596,74.12,65.04
23,77.95,52.61,KP,482,50.99,41.44
23,90.93,72.11,KP,626,60.23,61.49
23,84.25,72.69,KP,887,50.28,62.54
23,95.77,98.24,KP,480,76.01,78.39
23,47.83,94.07,KP,810,40.45,74.54
